ShPt,Plnt,SLoc,Delivery,Material,Item_Description,DlvQty,BUn,Supplier_Name,OPS,WM,GM,Delivdate,key_plant,key_material
3000,3000,1,681088761,202342,Anclaje marcos HRD-C 8x80,50.0,PC,HILTI,0,0,A,2024-10-23,3000/202342,3000/202342
3000,3000,1,680920046,202900,Prolongación broca corona DD-BS-ET 300 A,1.0,PC,HILTI,0,0,A,2024-09-24,3000/202900,3000/202900
3000,3000,1,680920053,202900,Prolongación broca corona DD-BS-ET 300 A,4.0,PC,HILTI,0,0,A,2024-09-24,3000/202900,3000/202900
3000,3000,1,680920053,202900,Prolongación broca corona DD-BS-ET 300 A,4.0,PC,HILTI,0,0,A,2024-09-24,3000/202900,3000/202900
3000,3000,1,680979491,202900,Prolongación broca corona DD-BS-ET 300 A,4.0,PC,HILTI,0,0,A,2024-10-02,3000/202900,3000/202900
8330,8330,1,681076145,202900,Prolong. broca coroa DD-BS-ET 300 A,1.0,PC,HILTI,0,0,A,2024-10-15,8330/202900,8330/202900
3000,3000,1,681088062,202900,Prolongación broca corona DD-BS-ET 300 A,1.0,PC,HILTI,0,0,A,2024-10-23,3000/202900,3000/202900
3000,3000,1,681088063,202900,Prolongación broca corona DD-BS-ET 300 A,8.0,PC,HILTI,0,0,A,2024-10-23,3000/202900,3000/202900
3000,3000,1,681139701,202900,Prolongación broca corona DD-BS-ET 300 A,2.0,PC,HILTI,0,0,A,2024-09-19,3000/202900,3000/202900
3000,3000,1,681139702,202900,Prolongación broca corona DD-BS-ET 300 A,4.0,PC,HILTI,0,0,A,2024-09-19,3000/202900,3000/202900
8750,8750,1,681048749,202901,Prolongación broca corona DD-BS-ET 500 A,1.0,PC,HILTI,0,0,A,2024-10-16,8750/202901,8750/202901
8330,8330,1,680907579,203517,Espuma anti-fogo CP 660 INT,64.0,PC,HILTI,0,0,A,2024-09-11,8330/203517,8330/203517
8330,8330,1,681026046,203517,Espuma anti-fogo CP 660 INT,32.0,PC,HILTI,0,0,A,2024-10-01,8330/203517,8330/203517
8330,8330,1,681026047,203517,Espuma anti-fogo CP 660 INT,32.0,PC,HILTI,0,0,A,2024-10-01,8330/203517,8330/203517
8330,8330,1,681106440,203517,Espuma anti-fogo CP 660 INT,32.0,PC,HILTI,0,0,A,2024-10-22,8330/203517,8330/203517
8330,8330,1,681106441,203517,Espuma anti-fogo CP 660 INT,80.0,PC,HILTI,0,0,A,2024-10-22,8330/203517,8330/203517
8330,8330,1,681106442,203517,Espuma anti-fogo CP 660 INT,160.0,PC,HILTI,0,0,A,2024-10-22,8330/203517,8330/203517
8330,8330,1,681106454,203517,Espuma anti-fogo CP 660 INT,16.0,PC,HILTI,0,0,A,2024-10-22,8330/203517,8330/203517
8330,8330,1,681106455,203517,Espuma anti-fogo CP 660 INT,96.0,PC,HILTI,0,0,A,2024-10-22,8330/203517,8330/203517
8330,8330,1,681106456,203517,Espuma anti-fogo CP 660 INT,96.0,PC,HILTI,0,0,A,2024-10-22,8330/203517,8330/203517
8330,8330,1,681139675,203517,Espuma anti-fogo CP 660 INT,144.0,PC,HILTI,0,0,A,2024-09-20,8330/203517,8330/203517
8330,8330,1,680907492,203852,Saco de pó VC 40/150-10 (10) plástico,20.0,PC,HILTI,0,0,A,2024-09-11,8330/203852,8330/203852
3000,3000,1,680979493,203867,Manguera de aspiración 36mmx4.65m anties,1.0,PC,HILTI,0,0,A,2024-10-02,3000/203867,3000/203867
8650,8650,1,680996035,203867,Manguera de aspiración 36mmx4.65m anties,16.0,PC,HILTI,0,0,A,2024-09-23,8650/203867,8650/203867
8650,8650,1,681106418,203867,Manguera de aspiración 36mmx4.65m anties,16.0,PC,HILTI,0,0,A,2024-10-14,8650/203867,8650/203867
3000,3000,1,680792672,207313,Arandela de junta DD-SW-77/87-S,1.0,PC,HILTI,0,0,A,2024-09-13,3000/207313,3000/207313
3000,3000,1,680792672,207322,Arandela de junta DD-SW-107/117-M,1.0,PC,HILTI,0,0,A,2024-09-13,3000/207322,3000/207322
8750,8750,1,681048772,207323,Arandela de junta DD-SW-122/132-M,2.0,PC,HILTI,0,0,A,2024-10-16,8750/207323,8750/207323
8330,8330,1,680907489,207325,Anilha de vedação DD-SW-158/162-M,1.0,PC,HILTI,0,0,A,2024-09-11,8330/207325,8330/207325
3000,3000,1,680859329,207340,Arandela de junta DD-SW-202-L,1.0,PC,HILTI,0,0,A,2024-09-17,3000/207340,3000/207340
8330,8330,1,680967128,209625,Ved anti-fogo juntas CP 606 310ml branco,120.0,PC,HILTI,0,0,A,2024-09-17,8330/209625,8330/209625
8330,8330,1,680967129,209625,Ved anti-fogo juntas CP 606 310ml branco,100.0,PC,HILTI,0,0,A,2024-09-17,8330/209625,8330/209625
8330,8330,1,680996016,209625,Ved anti-fogo juntas CP 606 310ml branco,40.0,PC,HILTI,0,0,A,2024-10-23,8330/209625,8330/209625
8330,8330,1,680996019,209625,Ved anti-fogo juntas CP 606 310ml branco,40.0,PC,HILTI,0,0,A,2024-10-23,8330/209625,8330/209625
8750,8750,1,681047764,209625,Relleno cortafuego juntas CP 606 310ml b,100.0,PC,HILTI,0,0,A,2024-10-16,8750/209625,8750/209625
8750,8750,1,681047764,209625,Relleno cortafuego juntas CP 606 310ml b,80.0,PC,HILTI,0,0,A,2024-10-16,8750/209625,8750/209625
8750,8750,1,681047775,209625,Relleno cortafuego juntas CP 606 310ml b,140.0,PC,HILTI,0,0,A,2024-10-16,8750/209625,8750/209625
8330,8330,1,681106443,209625,Ved anti-fogo juntas CP 606 310ml branco,40.0,PC,HILTI,0,0,A,2024-10-22,8330/209625,8330/209625
8330,8330,1,681106447,209625,Ved anti-fogo juntas CP 606 310ml branco,40.0,PC,HILTI,0,0,A,2024-10-22,8330/209625,8330/209625
8330,8330,1,681106449,209625,Ved anti-fogo juntas CP 606 310ml branco,40.0,PC,HILTI,0,0,A,2024-10-22,8330/209625,8330/209625
8330,8330,1,681106450,209625,Ved anti-fogo juntas CP 606 310ml branco,40.0,PC,HILTI,0,0,A,2024-10-22,8330/209625,8330/209625
3000,3000,1,680792657,209636,Relleno cortafuego juntas CP 606 5GAL ro,16.0,PC,HILTI,0,0,A,2024-09-13,3000/209636,3000/209636
3000,3000,1,681150389,212131,Tope de profundidad DCH 300-X/ DCH 300,1.0,PC,HILTI,0,0,A,2024-11-06,3000/212131,3000/212131
3000,3000,1,681088062,212190,Codo cpl,1.0,PC,HILTI,0,0,A,2024-10-23,3000/212190,3000/212190
8750,8750,1,681048739,213950,Broca helicoidal HSS 2-8 (6) juego,1.0,PC,HILTI,0,0,A,2024-10-16,8750/213950,8750/213950
3000,3000,1,681069064,213950,Broca helicoidal HSS 2-8 (6) juego,1.0,PC,nan,0,0,A,2024-10-21,3000/213950,3000/213950
8330,8330,1,681076190,213950,Broca helicoidal HSS 2-8 (6) pack,1.0,PC,HILTI,0,0,A,2024-10-15,8330/213950,8330/213950
8330,8330,1,681026113,215196,Ponta de centragem DD 110-D DD-SA-RK M27,14.0,PC,HILTI,0,0,A,2024-10-11,8330/215196,8330/215196
8330,8330,1,681106486,215196,Ponta de centragem DD 110-D DD-SA-RK M27,10.0,PC,HILTI,0,0,A,2024-10-22,8330/215196,8330/215196
8330,8330,1,680967209,215197,Ponta de centragem DD 110-D DD-SA-RK BI+,22.0,PC,HILTI,0,0,A,2024-09-17,8330/215197,8330/215197
8330,8330,1,681026147,215197,Ponta de centragem DD 110-D DD-SA-RK BI+,15.0,PC,HILTI,0,0,A,2024-10-11,8330/215197,8330/215197
8330,8330,1,681137100,215197,Ponta de centragem DD 110-D DD-SA-RK BI+,15.0,PC,HILTI,0,0,A,2024-10-29,8330/215197,8330/215197
3000,3000,1,680792690,220139,Tobera CS-280-D5 (10),10.0,PC,HILTI,0,0,A,2024-09-13,3000/220139,3000/220139
3000,3000,1,680859356,220139,Tobera CS-280-D5 (10),10.0,PC,HILTI,0,0,A,2024-09-17,3000/220139,3000/220139
3000,3000,1,681036396,220139,Tobera CS-280-D5 (10),10.0,PC,HILTI,0,0,A,2024-10-09,3000/220139,3000/220139
3000,3000,1,681150420,220139,Tobera CS-280-D5 (10),10.0,PC,HILTI,0,0,A,2024-11-06,3000/220139,3000/220139
3000,3000,1,680792673,220929,Prolongación broca corona DD-BI-ET300,2.0,PC,HILTI,0,0,A,2024-09-13,3000/220929,3000/220929
3000,3000,1,680859343,220929,Prolongación broca corona DD-BI-ET300,1.0,PC,HILTI,0,0,A,2024-09-17,3000/220929,3000/220929
3000,3000,1,680859343,220929,Prolongación broca corona DD-BI-ET300,1.0,PC,HILTI,0,0,A,2024-09-17,3000/220929,3000/220929
