Region|Plnt|PGr|Descriptn|Reservno|Itm|Material|Material_Description|Base_date|Orig_Date|ReqmtsDate|Confirmed|Ship_Code|Descript|ItCa|Reqmnt_qty|Status|Reference|Diff_Days|Ext_OrdNo|Ext_OrdPo|Created_on|ActMatAvDt|Conf_Qty|Conf_Date|Ship_to|Plnt1|Pur_Doc|Item|Quantity|AlrtExists|DDNP|DSLU|DDGT|NOC|WRGT|AlrtSum|Goods_Supp|Name|Customer|MRPCD|Name1|MRPCS|Name2|D797_uCnt|D797_date|CommentBU|CommentMO|key_plant
0|3000|L02|0|13451424|16|2231459|Premium exp anc KB1 1/2x4 1/2|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|2560.0|C|D451424016|11|56342757|160|2024-08-06|11.09.2024|2.560,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L02|0|0|0|0||0|0|3000/2231459
0|3000|L02|0|13451424|15|2231459|Premium exp anc KB1 1/2x4 1/2|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|2560.0|C|D451424015|11|56342757|150|2024-08-06|11.09.2024|2.560,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L02|0|0|0|0||0|0|3000/2231459
0|3000|L01|0|13451424|10|2197969|"Anchor rod HAS-B-105 5/8""x8"""|2024-08-06|2024-10-02|2024-10-15|X|2|Truck|ZTLA|80.0|C|D451424010|13|56342757|100|2024-08-06|26.09.2024|80,000|2024-10-15|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L01|0|0|0|0||0|0|3000/2197969
0|3000|L01|0|13451424|11|2197969|"Anchor rod HAS-B-105 5/8""x8"""|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|80.0|C|D451424011|11|56342757|110|2024-08-06|11.09.2024|80,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L01|0|0|0|0||0|0|3000/2197969
0|3000|L01|0|13451424|3|2197992|"Anchor rod HAS-E-55 1/2""x8"""|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|960.0|C|D451424003|11|56342757|30|2024-08-06|11.09.2024|960,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L01|0|0|0|1|2024-09-03|0|0|3000/2197992
0|3000|L01|0|13451424|1|2197996|"Anchor rod HAS-E-55 5/8""x9"""|2024-08-06|2024-10-02|2024-10-15|X|2|Truck|ZTLA|240.0|C|D451424001|13|56342757|10|2024-08-06|26.09.2024|240,000|2024-10-15|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L01|0|0|0|0||0|0|3000/2197996
0|3000|L01|0|13451424|2|2197996|"Anchor rod HAS-E-55 5/8""x9"""|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|240.0|C|D451424002|11|56342757|20|2024-08-06|11.09.2024|240,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L01|0|0|0|0||0|0|3000/2197996
0|3000|L11|0|13451416|1|2203480|Starter OS S-M WB-300-CH50-T/CH100-T SS|2024-08-06|2024-09-11|2024-09-24|X|8|Air|ZTSB|338.0|C|D451416001|13|56343678|10|2024-08-07|13.09.2024|505,000|2024-09-11|HMX30001|524|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L11|0|0|0|1|2024-08-28|0|0|3000/2203480
0|3000|L11|0|13451416|2|2287441|Angle bracket OS S-M AB 110X120-10/6 SS|2024-08-06|2024-09-18|2024-10-31|X|8|Air|ZTSB|36.0|C|D451416002|43|56343678|20|2024-08-07|24.10.2024|200,000|2024-09-19|HMX30001|524|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L11|0|0|0|1|2024-08-13|0|0|3000/2287441
0|8750|L15|0|13451294|3|2352087|Concrete vibrator backpack NCV 10-22 box|2024-08-06|2024-11-15|2024-11-15|X|3|Sea|ZTLA|1.0|C|D451294003|0|56342843|70|2024-08-07|11.09.2024|1,000|2024-11-15|HAR8750|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5211|L15|0|0|0|0||0|0|8750/2352087
0|8330|L15|0|13451016|2|2251363|Battery pack B 22-255 Li-ion|2024-08-06|2024-11-14|2024-11-14|X|3|Sea|ZTLS|18.0|C|D451016002|0|56343414|10|2024-08-07|19.09.2024|18,000|2024-11-14|HBR8330|560|0|0|0.0|0|0|0|0|0|0|0|0|0|5221|L15|0|0|0|0||0|0|8330/2251363
