POrg|Plnt|SLoc|Material|Type|Doc_Date|Supplier|Pur_Doc|Quantity|OUn|Quantity1|SKU|PGr|Net_Price|Crcy|Per|To_be_del_1|To_be_del_2|To_be_inv_1|To_be_inv_2|key_plant|key_material
8300|8330|1|2264520|NB|2024-09-13|9999       HILTI|4537360221|144.0|PC|144.0|PC|L11|41.97|USD|10.0|144.0|604.37|0.0|0.0|8330/2264520|8300/2264520
8300|8330|1|2269877|NB|2024-09-13|9999       HILTI|4537360222|40.0|PC|40.0|PC|L11|43.5|USD|1.0|40.0|1740.0|0.0|0.0|8330/2269877|8300/2269877
8300|8330|1|2203485|NB|2024-09-13|9999       HILTI|4537360223|11.0|PC|11.0|PC|L11|151.5|USD|1.0|11.0|1666.5|0.0|0.0|8330/2203485|8300/2203485
8300|8330|1|2203488|NB|2024-09-13|9999       HILTI|4537360224|12.0|M|12.0|M|L11|26.13|USD|1.0|12.0|313.56|0.0|0.0|8330/2203488|8300/2203488
8300|8330|1|2203491|NB|2024-09-13|9999       HILTI|4537360225|165.0|M|165.0|M|L11|48.84|USD|1.0|165.0|8058.6|0.0|0.0|8330/2203491|8300/2203491
8300|8330|1|2203495|NB|2024-09-13|9999       HILTI|4537360226|69.0|M|69.0|M|L11|95.87|USD|1.0|69.0|6615.03|0.0|0.0|8330/2203495|8300/2203495
8300|8330|1|2203504|NB|2024-09-13|9999       HILTI|4537360227|16.0|PC|16.0|PC|L11|5.1|USD|1.0|16.0|81.6|0.0|0.0|8330/2203504|8300/2203504
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360228|874.0|PC|874.0|PC|L11|31.47|USD|100.0|874.0|275.05|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360230|154.0|PC|154.0|PC|L11|31.47|USD|100.0|154.0|48.46|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360231|20.0|PC|20.0|PC|L11|31.47|USD|100.0|20.0|6.29|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2205246|NB|2024-09-13|9999       HILTI|4537360232|264.0|PC|264.0|PC|L11|8.09|USD|10.0|264.0|213.58|0.0|0.0|8330/2205246|8300/2205246
8300|8330|1|2205246|NB|2024-09-13|9999       HILTI|4537360233|242.0|PC|242.0|PC|L11|8.09|USD|10.0|242.0|195.78|0.0|0.0|8330/2205246|8300/2205246
8300|8330|1|2205246|NB|2024-09-13|9999       HILTI|4537360235|176.0|PC|176.0|PC|L11|8.09|USD|10.0|176.0|142.38|0.0|0.0|8330/2205246|8300/2205246
8300|8330|1|2205247|NB|2024-09-13|9999       HILTI|4537360236|190.0|PC|190.0|PC|L11|22.17|USD|100.0|190.0|42.12|0.0|0.0|8330/2205247|8300/2205247
8300|8330|1|2208751|NB|2024-09-13|9999       HILTI|4537360237|1888.0|PC|1888.0|PC|L11|7.34|USD|10.0|1888.0|1385.79|0.0|0.0|8330/2208751|8300/2208751
8300|8330|1|2216386|NB|2024-09-13|9999       HILTI|4537360238|16.0|PC|16.0|PC|L11|16.19|USD|1.0|16.0|259.04|0.0|0.0|8330/2216386|8300/2216386
8300|8330|1|2216396|NB|2024-09-13|9999       HILTI|4537360239|88.0|PC|88.0|PC|L11|21.36|USD|100.0|88.0|18.8|0.0|0.0|8330/2216396|8300/2216396
8300|8330|1|2216401|NB|2024-09-13|9999       HILTI|4537360241|11.0|PC|11.0|PC|L11|26.31|USD|1.0|11.0|289.41|0.0|0.0|8330/2216401|8300/2216401
8300|8330|1|2216412|NB|2024-09-13|9999       HILTI|4537360243|154.0|PC|154.0|PC|L11|13.05|USD|1.0|154.0|2009.7|0.0|0.0|8330/2216412|8300/2216412
8300|8330|1|2216424|NB|2024-09-13|9999       HILTI|4537360244|35.0|PC|35.0|PC|L11|25.76|USD|1.0|35.0|901.6|0.0|0.0|8330/2216424|8300/2216424
8300|8330|1|2226734|NB|2024-09-13|9999       HILTI|4537360245|31.0|PC|31.0|PC|L11|12.2|USD|1.0|31.0|378.2|0.0|0.0|8330/2226734|8300/2226734
8300|8330|1|2226740|NB|2024-09-13|9999       HILTI|4537360246|75.0|PC|75.0|PC|L11|105.27|USD|1.0|75.0|7895.25|0.0|0.0|8330/2226740|8300/2226740
8300|8330|1|2237067|NB|2024-09-13|9999       HILTI|4537360247|396.0|PC|396.0|PC|L11|7.22|USD|100.0|396.0|28.59|0.0|0.0|8330/2237067|8300/2237067
8300|8330|1|2241678|NB|2024-09-13|9999       HILTI|4537360248|90.0|PC|90.0|PC|L11|6.46|USD|100.0|90.0|5.81|0.0|0.0|8330/2241678|8300/2241678
8300|8330|1|2247241|NB|2024-09-13|9999       HILTI|4537360249|88.0|PC|88.0|PC|L11|34.27|USD|100.0|88.0|30.16|0.0|0.0|8330/2247241|8300/2247241
8300|8330|1|2262104|NB|2024-09-13|9999       HILTI|4537360250|20.0|PC|20.0|PC|L11|42.73|USD|100.0|20.0|8.55|0.0|0.0|8330/2262104|8300/2262104
8300|8330|1|2264520|NB|2024-09-13|9999       HILTI|4537360251|10.0|PC|10.0|PC|L11|41.97|USD|10.0|10.0|41.97|0.0|0.0|8330/2264520|8300/2264520
8300|8330|1|2264813|NB|2024-09-13|9999       HILTI|4537360252|10.0|PC|10.0|PC|L11|12.63|USD|1.0|10.0|126.3|0.0|0.0|8330/2264813|8300/2264813
8300|8330|1|2268533|NB|2024-09-13|9999       HILTI|4537360253|154.0|PC|154.0|PC|L11|77.53|USD|100.0|154.0|119.4|0.0|0.0|8330/2268533|8300/2268533
8300|8330|1|2203488|NB|2024-09-13|9999       HILTI|4537360254|30.0|M|30.0|M|L11|26.13|USD|1.0|30.0|783.9|0.0|0.0|8330/2203488|8300/2203488
8300|8330|1|2203491|NB|2024-09-13|9999       HILTI|4537360255|108.0|M|108.0|M|L11|48.84|USD|1.0|108.0|5274.72|0.0|0.0|8330/2203491|8300/2203491
8300|8330|1|2203495|NB|2024-09-13|9999       HILTI|4537360256|66.0|M|66.0|M|L11|95.87|USD|1.0|66.0|6327.42|0.0|0.0|8330/2203495|8300/2203495
8300|8330|1|2203504|NB|2024-09-13|9999       HILTI|4537360257|50.0|PC|50.0|PC|L11|5.1|USD|1.0|50.0|255.0|0.0|0.0|8330/2203504|8300/2203504
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360258|300.0|PC|300.0|PC|L11|31.47|USD|100.0|300.0|94.41|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360259|1200.0|PC|1200.0|PC|L11|31.47|USD|100.0|1200.0|377.64|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360260|20.0|PC|20.0|PC|L11|31.47|USD|100.0|20.0|6.29|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360261|30.0|PC|30.0|PC|L11|31.47|USD|100.0|30.0|9.44|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360262|60.0|PC|60.0|PC|L11|31.47|USD|100.0|60.0|18.88|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2205246|NB|2024-09-13|9999       HILTI|4537360263|16.0|PC|16.0|PC|L11|8.09|USD|10.0|16.0|12.94|0.0|0.0|8330/2205246|8300/2205246
8300|8330|1|2205246|NB|2024-09-13|9999       HILTI|4537360264|72.0|PC|72.0|PC|L11|8.09|USD|10.0|72.0|58.25|0.0|0.0|8330/2205246|8300/2205246
8300|8330|1|2205247|NB|2024-09-13|9999       HILTI|4537360266|400.0|PC|400.0|PC|L11|22.17|USD|100.0|400.0|88.68|0.0|0.0|8330/2205247|8300/2205247
8300|8330|1|2205247|NB|2024-09-13|9999       HILTI|4537360269|200.0|PC|200.0|PC|L11|22.17|USD|100.0|200.0|44.34|0.0|0.0|8330/2205247|8300/2205247
8300|8330|1|2208751|NB|2024-09-13|9999       HILTI|4537360272|2900.0|PC|2900.0|PC|L11|7.34|USD|10.0|2900.0|2128.6|0.0|0.0|8330/2208751|8300/2208751
8300|8330|1|2216386|NB|2024-09-13|9999       HILTI|4537360273|64.0|PC|64.0|PC|L11|16.19|USD|1.0|64.0|1036.16|0.0|0.0|8330/2216386|8300/2216386
8300|8330|1|2216396|NB|2024-09-13|9999       HILTI|4537360275|100.0|PC|100.0|PC|L11|21.36|USD|100.0|100.0|21.36|0.0|0.0|8330/2216396|8300/2216396
8300|8330|1|2216424|NB|2024-09-13|9999       HILTI|4537360278|104.0|PC|104.0|PC|L11|25.76|USD|1.0|104.0|2679.04|0.0|0.0|8330/2216424|8300/2216424
8300|8330|1|2226734|NB|2024-09-13|9999       HILTI|4537360281|50.0|PC|50.0|PC|L11|12.2|USD|1.0|50.0|610.0|0.0|0.0|8330/2226734|8300/2226734
8300|8330|1|2237067|NB|2024-09-13|9999       HILTI|4537360283|100.0|PC|100.0|PC|L11|7.22|USD|100.0|100.0|7.22|0.0|0.0|8330/2237067|8300/2237067
8300|8330|1|2238428|NB|2024-09-13|9999       HILTI|4537360286|116.0|PC|116.0|PC|L11|33.71|USD|1.0|116.0|3910.36|0.0|0.0|8330/2238428|8300/2238428
8300|8330|1|2241678|NB|2024-09-13|9999       HILTI|4537360287|600.0|PC|600.0|PC|L11|6.46|USD|100.0|600.0|38.76|0.0|0.0|8330/2241678|8300/2241678
8300|8330|1|2247241|NB|2024-09-13|9999       HILTI|4537360289|200.0|PC|200.0|PC|L11|34.27|USD|100.0|200.0|68.54|0.0|0.0|8330/2247241|8300/2247241
8300|8330|1|2268533|NB|2024-09-13|9999       HILTI|4537360290|300.0|PC|300.0|PC|L11|77.53|USD|100.0|300.0|232.59|0.0|0.0|8330/2268533|8300/2268533
8300|8330|1|2276323|NB|2024-09-13|9999       HILTI|4537360292|95.0|PC|95.0|PC|L11|33.66|USD|10.0|95.0|319.77|0.0|0.0|8330/2276323|8300/2276323
8300|8330|1|2276323|NB|2024-09-13|9999       HILTI|4537360295|100.0|PC|100.0|PC|L11|33.66|USD|10.0|100.0|336.6|0.0|0.0|8330/2276323|8300/2276323
8300|8330|1|2203488|NB|2024-09-13|9999       HILTI|4537360297|204.0|M|204.0|M|L11|26.13|USD|1.0|204.0|5330.52|0.0|0.0|8330/2203488|8300/2203488
8300|8330|1|2203495|NB|2024-09-13|9999       HILTI|4537360299|204.0|M|204.0|M|L11|95.87|USD|1.0|204.0|19557.48|0.0|0.0|8330/2203495|8300/2203495
8300|8330|1|2203504|NB|2024-09-13|9999       HILTI|4537360301|70.0|PC|70.0|PC|L11|5.1|USD|1.0|70.0|357.0|0.0|0.0|8330/2203504|8300/2203504
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360304|1000.0|PC|1000.0|PC|L11|31.47|USD|100.0|1000.0|314.7|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2205247|NB|2024-09-13|9999       HILTI|4537360305|200.0|PC|200.0|PC|L11|22.17|USD|100.0|200.0|44.34|0.0|0.0|8330/2205247|8300/2205247
8300|8330|1|2205247|NB|2024-09-13|9999       HILTI|4537360308|200.0|PC|200.0|PC|L11|22.17|USD|100.0|200.0|44.34|0.0|0.0|8330/2205247|8300/2205247
8300|8330|1|2208751|NB|2024-09-13|9999       HILTI|4537360310|2980.0|PC|2980.0|PC|L11|7.34|USD|10.0|2980.0|2187.32|0.0|0.0|8330/2208751|8300/2208751
8300|8330|1|2216386|NB|2024-09-13|9999       HILTI|4537360312|68.0|PC|68.0|PC|L11|16.19|USD|1.0|68.0|1100.92|0.0|0.0|8330/2216386|8300/2216386
8300|8330|1|2226740|NB|2024-09-13|9999       HILTI|4537360314|68.0|PC|68.0|PC|L11|105.27|USD|1.0|68.0|7158.36|0.0|0.0|8330/2226740|8300/2226740
8300|8330|1|2238428|NB|2024-09-13|9999       HILTI|4537360316|68.0|PC|68.0|PC|L11|33.71|USD|1.0|68.0|2292.28|0.0|0.0|8330/2238428|8300/2238428
8300|8330|1|2241678|NB|2024-09-13|9999       HILTI|4537360320|200.0|PC|200.0|PC|L11|6.46|USD|100.0|200.0|12.92|0.0|0.0|8330/2241678|8300/2241678
8300|8330|1|2276323|NB|2024-09-13|9999       HILTI|4537360322|100.0|PC|100.0|PC|L11|33.66|USD|10.0|100.0|336.6|0.0|0.0|8330/2276323|8300/2276323
