SOrg|Plnt|Material|Material_number|X_Plant_Material_Status|MS|Gross_weight|WUn|Spart|ValidFrom|Minorder_qty|BUn|Orig|Web|FM_rel|Av|PGr|GRT|Typ|MRPCn|Minlot_size|BUn1|SPT|PDT|TABCD|XYZ|Pl|Safety_Stock|Rounding_val|BUn2|Rprofile|LS|Min_dely_qty|BUn3|key_material
8300|8330|2292940|Account activation|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292940
8300|8330|2292941|Travel expenses|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292941
8300|8330|2292942|Set-up service 0|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292942
8300|8330|2292943|Set-up service 1|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292943
8300|8330|2292945|Set-up service ON!Track|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292945
8300|8330|2292946|Set-up service 4|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292946
8300|8330|2292947|Set-up service 5|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292947
8300|8330|2292948|Onsite tagging support 1/2d|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292948
8300|8330|2292949|Onsite tagging support 1 day|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292949
8300|8330|2292951|ON!Track training 1 day|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292951
8300|8330|2292952|Weekend supplement|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292952
8300|8330|2292953|Software Setup 1h|14|40|0.0|G|nan|2020-09-23|1.0|H|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|H|20|10.0|D|N|nan|0.0|1,000|H|Z004|EX|1.0|H|8300/2292953
8300|8330|2292954|Onsite tagging support 1h|14|40|0.0|G|nan|2020-09-23|1.0|H|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|H|20|10.0|D|N|nan|0.0|1,000|H|Z004|EX|1.0|H|8300/2292954
8300|8330|2292955|ON!Track training 1h|14|40|0.0|G|nan|2020-09-23|1.0|H|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|H|20|10.0|D|N|nan|0.0|1,000|H|Z004|EX|1.0|H|8300/2292955
8300|8330|2292956|Tagging partner|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2292956
8300|8330|2296086|On-site analysis asset management basic|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2296086
8300|8330|2296087|On-site analysis asset management|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2296087
8300|8330|2296088|On-site analysis tool park basic|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2296088
8300|8330|2296089|On-site analysis tool park|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2296089
8300|8330|2296091|Productivity consultation basic|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2296091
8300|8330|2296090|Productivity analysis|14|40|0.0|G|nan|2020-09-23|1.0|PC|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2296090
8300|8330|2097332|PROFIS Anchor|18|80|0.0|G|nan|2019-08-15|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|0.0|PC|nan|0.0|D|Z|X|0.0|0|PC|Z003|nan|1.0|PC|8300/2097332
