Material|Material_Description|SLoc|SL|Plnt|BUn|Unrestricted|Transit_Transf|Blocked|In_Qual_Insp|Restricted_Use|Returns|Stk_in_Transit|Sorg|key_material
3738|Baseplate 36/S13|6000.0|nan|8335|PC|7.0|0|0|0|0|0|0|8300|8300/3738
3738|Baseplate 36/S13|6000.0|nan|8678|PC|5.0|0|0|0|0|0|0|8650|8650/3738
3739|Spring clip|6000.0|nan|3070|PC|5.0|0|0|0|0|0|0|3000|3000/3739
3739|Spring clip|50.0|nan|8326|PC|5.0|0|0|0|0|0|0|8300|8300/3739
3739|Spring clip|1.0|nan|8330|PC|369.0|0|0|0|0|0|0|8300|8300/3739
3739|Spring clip|6000.0|nan|8335|PC|29.0|0|0|0|0|0|0|8300|8300/3739
3739|Spring clip|1.0|nan|8650|PC|100.0|0|0|0|0|0|0|8650|8650/3739
3739|Spring clip|1.0|nan|8655|PC|2.0|0|0|0|0|0|0|8650|8650/3739
3739|Spring clip|1.0|nan|8658|PC|3.0|0|0|0|0|0|0|8650|8650/3739
3739|Spring clip|1.0|nan|8663|PC|9.0|0|0|0|0|0|0|8650|8650/3739
3739|Spring clip|6000.0|nan|8678|PC|10.0|0|0|0|0|0|0|8650|8650/3739
3740|Compression spring 0,5X5X20,5|6000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/3740
3740|Compression spring 0,5X5X20,5|2.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/3740
3740|Compression spring 0,5X5X20,5|6000.0|nan|8335|PC|6.0|0|0|0|0|0|0|8300|8300/3740
3740|Compression spring 0,5X5X20,5|6000.0|nan|8678|PC|5.0|0|0|0|0|0|0|8650|8650/3740
3746|Absorber|6000.0|nan|3070|PC|6.0|0|0|0|0|0|0|3000|3000/3746
3746|Absorber|50.0|nan|8326|PC|10.0|0|0|0|0|0|0|8300|8300/3746
3746|Absorber|6000.0|nan|8335|PC|8.0|0|0|0|0|0|0|8300|8300/3746
3746|Absorber|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/3746
3747|Feather key|6000.0|nan|8678|PC|3.0|0|0|0|0|0|0|8650|8650/3747
3748|Washer|2.0|nan|8335|PC|5.0|0|0|0|0|0|0|8300|8300/3748
3750|Retaining ring|6000.0|nan|3070|PC|6.0|0|0|0|0|0|0|3000|3000/3750
3750|Retaining ring|50.0|nan|8326|PC|63.0|0|0|0|0|0|0|8300|8300/3750
3750|Retaining ring|2.0|nan|8335|PC|6.0|0|0|0|0|0|0|8300|8300/3750
3750|Retaining ring|6000.0|nan|8335|PC|7.0|0|0|0|0|0|0|8300|8300/3750
3750|Retaining ring|6000.0|nan|8678|PC|4.0|0|0|0|0|0|0|8650|8650/3750
3751|Stop holder|6000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/3751
3751|Stop holder|6000.0|nan|8678|PC|4.0|0|0|0|0|0|0|8650|8650/3751
3752|Inner casing|50.0|nan|8326|PC|1.0|0|0|0|0|0|0|8300|8300/3752
3758|Deflection spring|6000.0|nan|3070|PC|7.0|0|0|0|0|0|0|3000|3000/3758
