13.09.2024                                         Dynamic List Display                                                                                                  1


	SOrg.	Plnt	Name 1	SLoc	Description	Material	Material Description	Profl.	Serial Number		PP	Equipment	Pstng Date	Total	Serials	BUn
	3000	3090	Hilti TS Mexico	0104	3090-0104	227942	Cordl. drill driver SF 151-A 3.0	Z001	REV-039		01	300043650772	27.03.2013		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	272441	Battery charger C 4/36-ACS Li-Ion 115V	Z001	8017388.		01	300043777457	08.04.2013		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	285632	Hammer drill UH 650 120V box	Z001	41886		01	300022919880	21.05.2008		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	305179	Powder-actuated tool DX 460 F8	Z001	354680		01	300033165077	12.04.2011		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	320286	Laser range meter PD 42	Z001	REV-040		01	300043650773	27.03.2013		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	382594	Angle grinder DAG 500-D 120V box	Z001	207000402.		01	300043777456	08.04.2013		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	411210	Combilaser PMC 46 kit	Z001	160110017		01	300036506697	29.11.2011		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	411288	Laser receiver PMA 31	Z001	252100119		01	300040167922	18.06.2012		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	428639	Rotary hammer TE 7 120V case	Z001	108506		01	300041115262	16.05.2013		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	2004788	Laser range meter PD 5	Z001	348123431		01	300043971992	16.05.2013		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	2005206	Diamond coring tool DD 160 120V	Z001	104258		01	300092681779	03.03.2023		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	2021420	Cordless rotary hammer TE 2-A22 case	Z001	120337		01	300056906756	08.07.2016		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	2028878	Battery charger C 4/36-350 115V box	Z001	10650188		01	300056851108	23.11.2015		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	2049454	Breaker TE 3000-AVR 120V	Z001	41631		01	300042591345	03.07.2013		     2	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	2049454	Breaker TE 3000-AVR 120V	Z001	64622		01	300051713689	29.04.2015		     2	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	2061406	Laser range meter PD-I	Z001	214166667		01	300061917832	08.11.2016		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	2075614	Angle grinder AG 450-7D	Z001	23562		01	300053326992	01.07.2015		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	2109982	Cordl. angle grinder AG 125-A22 case	Z001	385464		01	300076015162	25.04.2019		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	228061	Rotary hammer TE 7-C 120V	Z001	115241		01	300022087311	25.03.2009		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	228061	Rotary hammer TE 7-C 120V	Z001	644033		01	300087666224	12.04.2022		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	228085	Rotary hammer TE 2 120V case	Z001	782223		01	300022584971	12.05.2008		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	228085	Rotary hammer TE 2 120V case	Z001	832208		01	300023972655	11.11.2008		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	267579	Angle grinder DAG 451-S 120V box	Z001	881000260		01	300023881476	12.05.2008		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	272441	Battery charger C 4/36-ACS Li-Ion 115V	Z001	8020330		01	300044976391	16.07.2013		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	272441	Battery charger C 4/36-ACS Li-Ion 115V	Z001	8018295		01	300043513813	19.03.2013		     2	PC
