
	Material	Material Description	SLoc	SL	Plnt	BUn	   Unrestricted	Transit/Transf.	        Blocked	 In Qual. Insp.	 Restricted-Use	        Returns	 Stk in Transit
	206510	Hammer drill bit TE-YX 1/2"-22"	0001		3022	PC	             1	             0	             0	             0	             0	             0	             0
	206513	Hammer drill bit TE-YX 5/8"-14"	0001		3000	PC	             4	             0	             0	             0	             0	             0	             0
	206515	Hammer drill bit TE-YX 5/8"-36"	0001		3000	PC	             4	             0	             0	             0	             0	             0	             0
	206515	Hammer drill bit TE-YX 5/8"-36"	0001		3014	PC	             1	             0	             0	             0	             0	             0	             0
	206515	Hammer drill bit TE-YX 5/8"-36"	0001		3022	PC	             1	             0	             0	             0	             0	             0	             0
	207137	Clamping piece DS-RF	0001		8750	PC	             1	             0	             0	             0	             0	             0	             0
	207322	Sealing washer DD-SW-107/117-M	0001		3000	PC	             1	             0	             0	             0	             0	             0	             0
	207322	Sealing washer DD-SW-107/117-M	0001		8750	PC	             2	             0	             0	             0	             0	             0	             0
	207323	Sealing washer DD-SW-122/132-M	0001		3000	PC	             2	             0	             0	             0	             0	             0	             0
	207323	Sealing washer DD-SW-122/132-M	0001		8750	PC	             2	             0	             0	             0	             0	             0	             0
	208548	Coupling sleeve	0001		3000	PC	            18	             0	             0	             0	             0	             0	             0
	209625	FS joint filler CP 606 310ml white	0001		8750	PC	            88	             0	             0	             0	             0	             0	             0
	209634	FS joint filler CP 606 580ml HNA r	0001		3000	PC	           140	             0	             0	             0	             0	             0	             0
	209636	FS joint filler CP 606 5GAL red	0001		3000	PC	             4	             0	             0	             0	             0	             0	             0
	212131	Depth gauge DCH 300	0001		3016	PC	             1	             0	             0	             0	             0	             0	             0
	212187	Depth gauge DCH 230	0001		3000	PC	             1	             0	             0	             0	             0	             0	             0
	212253	Conversion set DCH 230 / 180-SL	0001		3000	PC	             2	             0	             0	             0	             0	             0	             0
	213950	Twist drill bit HSS 2-8 (6) set	0001		3000	PC	            18	             0	             0	             0	             0	             0	             0
	213950	Twist drill bit HSS 2-8 (6) set	0001		3002	PC	             1	             0	             0	             0	             0	             0	             0
	213950	Twist drill bit HSS 2-8 (6) set	0001		3010	PC	             1	             0	             0	             0	             0	             0	             0
	213950	Twist drill bit HSS 2-8 (6) set	0001		3014	PC	             1	             0	             0	             0	             0	             0	             0
	213950	Twist drill bit HSS 2-8 (6) set	0001		3016	PC	            11	             0	             0	             0	             0	             0	             0
	213950	Twist drill bit HSS 2-8 (6) set	0001		3018	PC	             2	             0	             0	             0	             0	             0	             0
	213950	Twist drill bit HSS 2-8 (6) set	0001		3022	PC	             1	             0	             0	             0	             0	             0	             0
	213950	Twist drill bit HSS 2-8 (6) set	0001		8750	PC	             8	             0	             0	             0	             0	             0	             0
	214050	FS joint filler CP 606 580ML grey	0001		3000	PC	             0	             0	            10	             0	             0	             0	             0
	216420	Threaded rod AM12x2000 4.8 zinced	0001		3000	PC	            15	             0	             0	             0	             0	             0	             0
	220139	Nozzle CS-280-D5 (10)	0001		8750	PC	            10	             0	             0	             0	             0	             0	             0
	220688	Tool shank TE-FY-SS 300	0001		8750	PC	             4	             0	             0	             0	             0	             0	             0
	221572	Hex skt hd cap screw M5X35 - A4 st	0002		3000	PC	             4	             0	             0	             0	             0	             0	             0
	223442	O-ring 10.77X2.62	0002		3000	PC	             3	             0	             0	             0	             0	             0	             0
	224117	Quick-release chuck TE 2/2-S/2-E +	0001		3000	PC	             3	             0	             0	             0	             0	             0	             0
	224117	Quick-release chuck TE 2/2-S/2-E +	0001		3010	PC	             3	             0	             0	             0	             0	             0	             0
	224117	Quick-release chuck TE 2/2-S/2-E +	0001		3014	PC	             1	             0	             0	             0	             0	             0	             0
	224117	Quick-release chuck TE 2/2-S/2-E +	0001		3022	PC	             2	             0	             0	             0	             0	             0	             0
	224117	Quick-release chuck TE 2/2-S/2-E +	0001		8750	PC	             1	             0	             0	             0	             0	             0	             0
	224119	Quick-release chuck TE 2M/7C/7A/6A	0001		3000	PC	            13	             0	             0	             0	             0	             0	             0
	224119	Quick-release chuck TE 2M/7C/7A/6A	0001		3010	PC	             1	             0	             0	             0	             0	             0	             0
	224119	Quick-release chuck TE 2M/7C/7A/6A	0001		3014	PC	             1	             0	             0	             0	             0	             0	             0
	224119	Quick-release chuck TE 2M/7C/7A/6A	0001		3016	PC	             1	             0	             0	             0	             0	             0	             0
	224119	Quick-release chuck TE 2M/7C/7A/6A	0001		3018	PC	             2	             0	             0	             0	             0	             0	             0
	224119	Quick-release chuck TE 2M/7C/7A/6A	0001		3022	PC	             1	             0	             0	             0	             0	             0	             0
	224119	Quick-release chuck TE 2M/7C/7A/6A	0001		8750	PC	            13	             0	             0	             0	             0	             0	             0
	226877	Tool bag PDA 65	0001		3000	PC	             5	             0	             0	             0	             0	             0	             0
	226976	Target plate PRA 54 (CM/IN)	0001		8750	PC	             5	             0	             0	             0	             0	             0	             0
	228061	Rotary hammer TE 7-C 120V	0001		3018	PC	             2	             0	             0	             0	             0	             0	             0
	228085	Rotary hammer TE 2 120V case	0001		3018	PC	             3	             0	             0	             0	             0	             0	             0
	228103	Rotary hammer TE 2-S 230V case	0001		8662	PC	             2	             0	             0	             0	             0	             0	             0
	228156	Retaining strap MAB-S 17	0001		3000	PC	           360	             0	             0	             0	             0	             0	             0
	228335	Conduit clip X-EMTC 1/2" MX	0001		3018	PC	           400	             0	             0	             0	             0	             0	             0
	228336	Conduit clip X-EMTC 3/4" MX	0001		3010	PC	           400	             0	             0	             0	             0	             0	             0
	228336	Conduit clip X-EMTC 3/4" MX	0001		3014	PC	         2.200	             0	             0	             0	             0	             0	             0
	228336	Conduit clip X-EMTC 3/4" MX	0001		3016	PC	           200	             0	             0	             0	             0	             0	             0
	228336	Conduit clip X-EMTC 3/4" MX	0001		3018	PC	           200	             0	             0	             0	             0	             0	             0
	228336	Conduit clip X-EMTC 3/4" MX	0001		3022	PC	           400	             0	             0	             0	             0	             0	             0
	228337	Conduit clip X-EMTC 1" MX	0001		3014	PC	           600	             0	             0	             0	             0	             0	             0
	228337	Conduit clip X-EMTC 1" MX	0001		3016	PC	           200	             0	             0	             0	             0	             0	             0
	228337	Conduit clip X-EMTC 1" MX	0001		3018	PC	           400	             0	             0	             0	             0	             0	             0
	228338	Stand-off clamp X-EMTSC 1/2" MX	0001		3000	PC	            48	             0	             0	             0	             0	             0	             0
	228339	Stand-off clamp X-EMTSC 3/4" MX	0001		3000	PC	         4.900	             0	             0	             0	             0	             0	             0
	228341	Ceiling hanger X-EHS W6 MX	0001		3000	PC	        20.700	             0	             0	             0	             0	             0	             0
	228341	Ceiling hanger X-EHS W6 MX	0001		3010	PC	           200	             0	             0	             0	             0	             0	             0
	228341	Ceiling hanger X-EHS W6 MX	0001		3014	PC	         1.200	             0	             0	             0	             0	             0	             0
	228341	Ceiling hanger X-EHS W6 MX	0001		3016	PC	           400	             0	             0	             0	             0	             0	             0
	228341	Ceiling hanger X-EHS W6 MX	0001		3018	PC	           200	             0	             0	             0	             0	             0	             0
