13.09.2024                                                                 Dynamic List Display                                                                                                                           1


	POrg	Plnt	SLoc	Material	Type	Doc. Date	Supplier	Pur. Doc.	Quantity	OUn	Quantity	SKU	PGr	     Net Price	Crcy	    Per	  To be del.	       To be del.	  To be inv.	       To be inv.
	8300	8330	0001	2205246	NB	13.09.2024	9999       HILTI	4537360235	    176	PC	    176	PC	L11	         8,09	USD	    10	        176	          142,38	          0	            0,00
	8300	8330	0001	2205247	NB	13.09.2024	9999       HILTI	4537360236	    190	PC	    190	PC	L11	        22,17	USD	   100	        190	           42,12	          0	            0,00
	8300	8330	0001	2208751	NB	13.09.2024	9999       HILTI	4537360237	  1.888	PC	  1.888	PC	L11	         7,34	USD	    10	      1.888	        1.385,79	          0	            0,00
	8300	8330	0001	2216386	NB	13.09.2024	9999       HILTI	4537360238	     16	PC	     16	PC	L11	        16,19	USD	     1	         16	          259,04	          0	            0,00
	8300	8330	0001	2216396	NB	13.09.2024	9999       HILTI	4537360239	     88	PC	     88	PC	L11	        21,36	USD	   100	         88	           18,80	          0	            0,00
	8300	8330	0001	2216401	NB	13.09.2024	9999       HILTI	4537360241	     11	PC	     11	PC	L11	        26,31	USD	     1	         11	          289,41	          0	            0,00
	8300	8330	0001	2216412	NB	13.09.2024	9999       HILTI	4537360243	    154	PC	    154	PC	L11	        13,05	USD	     1	        154	        2.009,70	          0	            0,00
	8300	8330	0001	2216424	NB	13.09.2024	9999       HILTI	4537360244	     35	PC	     35	PC	L11	        25,76	USD	     1	         35	          901,60	          0	            0,00
	8300	8330	0001	2226734	NB	13.09.2024	9999       HILTI	4537360245	     31	PC	     31	PC	L11	        12,20	USD	     1	         31	          378,20	          0	            0,00
	8300	8330	0001	2226740	NB	13.09.2024	9999       HILTI	4537360246	     75	PC	     75	PC	L11	       105,27	USD	     1	         75	        7.895,25	          0	            0,00
	8300	8330	0001	2237067	NB	13.09.2024	9999       HILTI	4537360247	    396	PC	    396	PC	L11	         7,22	USD	   100	        396	           28,59	          0	            0,00
	8300	8330	0001	2241678	NB	13.09.2024	9999       HILTI	4537360248	     90	PC	     90	PC	L11	         6,46	USD	   100	         90	            5,81	          0	            0,00
	8300	8330	0001	2247241	NB	13.09.2024	9999       HILTI	4537360249	     88	PC	     88	PC	L11	        34,27	USD	   100	         88	           30,16	          0	            0,00
	8300	8330	0001	2262104	NB	13.09.2024	9999       HILTI	4537360250	     20	PC	     20	PC	L11	        42,73	USD	   100	         20	            8,55	          0	            0,00
	8300	8330	0001	2264520	NB	13.09.2024	9999       HILTI	4537360251	     10	PC	     10	PC	L11	        41,97	USD	    10	         10	           41,97	          0	            0,00
	8300	8330	0001	2264813	NB	13.09.2024	9999       HILTI	4537360252	     10	PC	     10	PC	L11	        12,63	USD	     1	         10	          126,30	          0	            0,00
	8300	8330	0001	2268533	NB	13.09.2024	9999       HILTI	4537360253	    154	PC	    154	PC	L11	        77,53	USD	   100	        154	          119,40	          0	            0,00
	8300	8330	0001	2203488	NB	13.09.2024	9999       HILTI	4537360254	     30	M	     30	M	L11	        26,13	USD	     1	         30	          783,90	          0	            0,00
	8300	8330	0001	2203491	NB	13.09.2024	9999       HILTI	4537360255	    108	M	    108	M	L11	        48,84	USD	     1	        108	        5.274,72	          0	            0,00
	8300	8330	0001	2203495	NB	13.09.2024	9999       HILTI	4537360256	     66	M	     66	M	L11	        95,87	USD	     1	         66	        6.327,42	          0	            0,00
	8300	8330	0001	2203504	NB	13.09.2024	9999       HILTI	4537360257	     50	PC	     50	PC	L11	         5,10	USD	     1	         50	          255,00	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360258	    300	PC	    300	PC	L11	        31,47	USD	   100	        300	           94,41	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360259	  1.200	PC	  1.200	PC	L11	        31,47	USD	   100	      1.200	          377,64	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360260	     20	PC	     20	PC	L11	        31,47	USD	   100	         20	            6,29	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360261	     30	PC	     30	PC	L11	        31,47	USD	   100	         30	            9,44	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360262	     60	PC	     60	PC	L11	        31,47	USD	   100	         60	           18,88	          0	            0,00
	8300	8330	0001	2205246	NB	13.09.2024	9999       HILTI	4537360263	     16	PC	     16	PC	L11	         8,09	USD	    10	         16	           12,94	          0	            0,00
	8300	8330	0001	2205246	NB	13.09.2024	9999       HILTI	4537360264	     72	PC	     72	PC	L11	         8,09	USD	    10	         72	           58,25	          0	            0,00
	8300	8330	0001	2205247	NB	13.09.2024	9999       HILTI	4537360266	    400	PC	    400	PC	L11	        22,17	USD	   100	        400	           88,68	          0	            0,00
	8300	8330	0001	2205247	NB	13.09.2024	9999       HILTI	4537360269	    200	PC	    200	PC	L11	        22,17	USD	   100	        200	           44,34	          0	            0,00
	8300	8330	0001	2208751	NB	13.09.2024	9999       HILTI	4537360272	  2.900	PC	  2.900	PC	L11	         7,34	USD	    10	      2.900	        2.128,60	          0	            0,00
